brand,query,service,timestamp,url,citation_count,first_position_pct,first_sentence_index,entity_coverage_score,coverage_breakdown,impression_share_pct,competitor_shares,ranking_stability_score
Unknown,,ChatGPT,2026-03-13T04:07:37.463Z,https://chatgpt.com/c/69b376aa-3830-8328-873f-d6a4d2833a08,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,ChatGPT,2026-03-13T04:07:37.419Z,https://chatgpt.com/c/69b376aa-3830-8328-873f-d6a4d2833a08,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,ChatGPT,2026-03-13T04:07:36.607Z,https://chatgpt.com/c/69b376aa-3830-8328-873f-d6a4d2833a08,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,ChatGPT,2026-03-13T04:07:36.530Z,https://chatgpt.com/c/69b376aa-3830-8328-873f-d6a4d2833a08,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,ChatGPT,2026-03-13T04:07:36.363Z,https://chatgpt.com/c/69b376aa-3830-8328-873f-d6a4d2833a08,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T04:07:16.902Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T04:07:16.515Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T04:07:16.174Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T04:07:15.774Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T03:59:15.806Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T03:59:15.740Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
Unknown,,Perplexity,2026-03-13T03:59:15.281Z,https://www.perplexity.ai/search/kacynthia-is-stinky-6vS.riQJT1S7h8p7A1rSZw,0,,,0,✗ product | ✗ pricing | ✗ features | ✗ sentiment | ✗ comparison,0.0,—,0
